,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
3810,ARYA_Atheroscler/PMC5403017.nxml,1.0,Caroline Kheradmand,authors;colleagues;study;unit;translation;editing;paper,the Golestan Clinical Research Development,The authors would like to thank all colleagues who contributed to this study and the Golestan Clinical Research Development unit especially Ms. Caroline Kheradmand for English translation and editing of this paper.,like;thank;contribute
3812,ARYA_Atheroscler/PMC5455323.nxml,0.0,Majid Faraji,research;thesis;degree;specialty;cardiology,Shiraz University of Medical Sciences,This research was based on the thesis submitted by Majid Faraji to Shiraz University of Medical Sciences for the degree of specialty in cardiology.,base;submit
3813,ARYA_Atheroscler/PMC5515189.nxml,1.0,Saharnaz Nedjat,authors;epidemiologist;guidance,Tehran University of Medical Sciences,"The authors would like to thank Dr. Saharnaz Nedjat (epidemiologist from Tehran University of Medical Sciences, Iran) for her valuable guidance.",like;thank
3815,ARYA_Atheroscler/PMC5628854.nxml,1.0,Parvin Abedi,head;guidance;article,the Menopause and Andropause Research Center,"We appreciate Parvin Abedi, the head of the Menopause and Andropause Research Center, for her benevolent guidance on writing this article.",appreciate;write
3816,ARYA_Atheroscler/PMC5628853.nxml,1.0,Nazanin Yadavar Nikravesh,help;study,,"We wish to thank Dr. Nazanin Yadavar Nikravesh, without whose help this study could not be done easily.",wish;thank
3817,ARYA_Atheroscler/PMC5677319.nxml,1.0,Elham Mosavi,authors;thanks;help;cell;culture,the Ahvaz Jundishapur University of Medical Sciences,NRC-9416).The authors would like to thank the Ahvaz Jundishapur University of Medical Sciences and we would like to offer our special thanks to Elham Mosavi for her help in cell culture.,like;thank;like;offer
3818,ARYA_Atheroscler/PMC5774792.nxml,0.0,Saeed Talaie,cooperation;patients,,We should appreciate Dr. Saeed Talaie’s kind cooperation who interviewed the patients.,appreciate;interview
3825,ASN_Neuro/PMC4189536.nxml,1.0,Laura Kaushansky,help;manuscript,,We are grateful to Laura Kaushansky for her help with the manuscript.,
3829,ASN_Neuro/PMC2826103.nxml,0.0,Marc E. Rothenberg,mice,Cincinatti Children's Hospital;Regeneron Pharmaceuticals,"We thank Dr Marc E. Rothenberg (Cincinatti Children's Hospital, Cincinnati, OH, U.S.A.) and Regeneron Pharmaceuticals (Tarrytown, NY, U.S.A.) for CCR3-deficient mice.",thank
3830,ASN_Neuro/PMC2828888.nxml,0.0,Glenn I. Hatton,work;energy;creativity;views;astrocyte;interactions,,"We dedicate this work to the late Glenn I. Hatton, whose energy and creativity inspired new views of astrocyte–neuronal interactions.",dedicate;inspire
3831,ASN_Neuro/PMC2785513.nxml,0.0,Anthony Campagnoni,mice;study,,We thank Professor Anthony Campagnoni for the transgenic mice used in the present study.,thank
3834,ASN_Neuro/PMC2785511.nxml,0.0,Vittorio Gallo,thanks;comments;manuscript,,We extend our special thanks to Dr Vittorio Gallo for his insightful comments on the manuscript.,extend
3835,ASN_Neuro/PMC2785511.nxml,1.0,Anastas Popratiloff,expertise;fluorescence;microscopy;advice;cytometry,,We thank Dr Anastas Popratiloff for his expertise in confocal fluorescence microscopy and Teresa Hawley for her technical advice on flow cytometry.,thank
3836,ASN_Neuro/PMC2785512.nxml,1.0,Marianne Cilluffo,specimen;preparation;use;facilities,UCLA,We thank Marianne Cilluffo and the UCLA BRI Electron Microscopic Core for specimen preparation and use of their microscopic facilities.,thank
3837,ASN_Neuro/PMC2922840.nxml,0.0,Murat Gokden,birefringence;assays;amyloid;plaques,Department of Pathology;University of Arkansas for Medical Sciences,"We thank Dr Murat Gokden (Department of Pathology, University of Arkansas for Medical Sciences) for suggesting and carrying out the birefringence assays of Congo Red-stained amyloid plaques.",thank;suggest;carry;stain
3840,ASN_Neuro/PMC2908744.nxml,0.0,Roderick Bronson,advice;evaluation;tumour;histology,,We thank Roderick Bronson for technical advice and evaluation of tumour histology.,thank
3842,ASN_Neuro/PMC2888168.nxml,0.0,Michael Yim,help;data;analysis;Figures,"Bianca Marcolino;Donna
                Crandall","We thank Michael Yim and Bianca Marcolino for their help with data analysis and Donna
                Crandall for preparing the Figures.",thank;prepare
3849,ASN_Neuro/PMC2949088.nxml,0.0,Anthony Campagnoni,mice;work,,We thank Dr Anthony Campagnoni for the transgenic mice used in this work.,thank
3853,ASN_Neuro/PMC3086280.nxml,0.0,Greg A. Gerhardt,A.;proprietor,Quanteon,Dr Greg A. Gerhardt is the sole proprietor of Quanteon.,
3855,ASN_Neuro/PMC3072764.nxml,0.0,Stefan Lanker,discussions,,We thank Stefan Lanker for helpful discussions.,thank
3861,ASN_Neuro/PMC3667642.nxml,0.0,Eric Pinet,pHPMA,Aqua Gel Technologies Inc.,"We thank Dr Eric Pinet (Aqua Gel Technologies Inc., Québec, Canada) for providing the pHPMA hydrogel.",thank;provide
3866,ASN_Neuro/PMC3178415.nxml,1.0,Annette Persson,discussions,,We thank Dr Annette Persson for providing  Figure 1(b)  and for invaluable discussions.,thank;provide
3867,ASN_Neuro/PMC3178415.nxml,0.0,Werner Paulus,resolution;image,,We also thank Dr Werner Paulus for providing the high-resolution image for  Figure 3(a) .,thank;provide
3869,ASN_Neuro/PMC3328864.nxml,1.0,Amanda Angle,assistance,,We thank Amanda Angle for excellent technical assistance.,thank
3872,ASN_Neuro/PMC3413012.nxml,1.0,Mandy Porter,assistance,,We thank Mandy Porter for the technical assistance provided.,thank;provide
3874,ASN_Neuro/PMC2874871.nxml,0.0,Vittorio Gallo,review;paper;acceptance,National Medical Center;Center for Neuroscience Research,"We thank Dr Vittorio Gallo (Children's National Medical Center, Center for Neuroscience Research, Washington, DC, U.S.A.) for a critical review of the paper prior to acceptance.",thank
3877,ASN_Neuro/PMC3275338.nxml,0.0,Galen Wenger,insight;assistance,"Byrd Alzheimer Institute,;University of South Florida;FL, U.S.A.","Byrd Alzheimer Institute, University of South Florida, Tampa, FL, U.S.A.) for insight and assistance with the RAWM, and Dr Galen Wenger (UAMS).",
3878,ASN_Neuro/PMC3275338.nxml,0.0,Steve Post,use;microscope;use,the Imaging Core of the Neuroscience Research Center Core Facility;the Kodak 4000MM Imager,We also acknowledge the Imaging Core of the Neuroscience Research Center Core Facility at UAMS [P30NS047546] for the use of the Olympus microscope and Dr Steve Post for allowing the use of the Kodak 4000MM Imager.,acknowledge;allow
3879,ASN_Neuro/PMC3275338.nxml,0.0,Richard A. Asher,antibody;auspices,the Developmental Studies Hybridoma Bank;the National Institute of Child Health and Human Development;The University of Iowa;Department of Biology,"The 12C5 antibody developed by Richard A. Asher was obtained from the Developmental Studies Hybridoma Bank developed under the auspices of the National Institute of Child Health and Human Development and maintained at The University of Iowa, Department of Biology, Iowa City, IA, U.S.A.",develop;obtain;develop;maintain
3883,ASN_Neuro/PMC3297119.nxml,1.0,Donna Crandall,help;illustrations,,We thank Donna Crandall for help with the illustrations.,thank
3885,ASN_Neuro/PMC3363983.nxml,1.0,Heather E. Shinogle,assistance;analysis,CellProfiler,We thank Heather E. Shinogle for assistance with CellProfiler analysis.,thank
3886,ASN_Neuro/PMC3342594.nxml,0.0,Benjamin Segal,advice;review;manuscript,,We thank Dr Benjamin Segal for helpful advice and for critical review of our manuscript.,thank
3888,ASN_Neuro/PMC3479791.nxml,1.0,Yimei Chen,electron;facility;EM;images;analysis;artwork,University of Chicago;EM,"We thank Yimei Chen, Technical Director of the electron microscopy facility at University of Chicago, for EM images and analysis and Sylvia A Dawson for the artwork.",thank
3892,ASN_Neuro/PMC3442489.nxml,0.0,David C. Spray,discussions;comments,,We appreciate the discussions and helpful comments provided by Dr David C. Spray.,appreciate;provide
3893,ASN_Neuro/PMC3442489.nxml,0.0,Naman Patel,assistance;animal;husbandry,Mrs Aisha Cordero,We acknowledge the technical assistance of Mrs Aisha Cordero and Mr Naman Patel with animal husbandry.,acknowledge
3904,ASN_Neuro/PMC3891360.nxml,1.0,Donna Crandall,assistance;graphics,,We would like to thank Donna Crandall for assistance with the graphics.,like;thank
3905,ASN_Neuro/PMC3789215.nxml,0.0,Juan Pablo DeRivero Vaccari,help;expertise;discussion,,We acknowledge and greatly appreciate the help and expertise of Dr Juan Pablo DeRivero Vaccari with NLRP3 inflammasome discussion.,acknowledge;appreciate
3908,ASN_Neuro/PMC3791522.nxml,0.0,James Dutt,reading;paper,,"Also, we thank Mr James Dutt for critical reading of the paper.",thank
3909,ASN_Neuro/PMC3917572.nxml,1.0,Terri Wood's,laboratory;progenitors;Blots,Western Blots,We would like to thank Dr Terri Wood's laboratory for providing some of the oligodendrocyte progenitors used for our Western Blots.,like;thank;provide
3912,ASN_Neuro/PMC3959759.nxml,1.0,Elvira Galarraga,BAC;mice;donation,BAC;IFC,"BAC mice were a donation of Dr Elvira Galarraga from IFC, UNAM.",
3914,ASN_Neuro/PMC4013688.nxml,1.0,Emilia Laudati,authors;help;C6;cell;cultures,Antonella Tramutola,The authors would like to thank Dr Antonella Tramutola and Dr Emilia Laudati for their help with C6 cell cultures.,like;thank
3918,ASN_Neuro/PMC4034710.nxml,0.0,Robert Thacker,assistance;data;acquisition;analyses,ImageStream,We also specially thank Dr Robert Thacker from Amnis for his assistance with the ImageStream data acquisition and analyses.,thank
3923,ASN_Neuro/PMC4379859.nxml,1.0,Elvia Gutierrez,preparation;brain;sections;staining;support,,"(City of Hope) for preparation of brain sections and Congo Red staining, and Elvia Gutierrez (City of Hope) for general technical support.",
3924,ASN_Neuro/PMC4271764.nxml,0.0,Albert Y. Sun,work;memory;coinvestigator;project;age,,"This work is dedicated to the memory of Professor Albert Y. Sun, coinvestigator of this
project, who passed away at the age of 79 on April 30, 2012.",dedicate;pass
3926,ASN_Neuro/PMC4550314.nxml,0.0,Toby R. Long,authors;synthesis;compounds,,The authors also thank Dr. Toby R. Long for the synthesis of compounds.,thank
3927,ASN_Neuro/PMC5102092.nxml,0.0,Giovanni Umberto,Authors;support;encouragement;work,University of Pisa,"Authors are deeply grateful to Professor Giovanni Umberto Corsini (University of Pisa, Italy) for his scientific support and continuous encouragement to the work.",
3928,ASN_Neuro/PMC4720215.nxml,0.0,Paul Young,Thy-1-YFP,"University College Cork, Cork","We thank Dr. Paul Young (University College Cork, Cork, Ireland) for providing Thy-1-YFP",thank;provide
3929,ASN_Neuro/PMC4720215.nxml,0.0,Patrick Matthias,,Teppei Yamaguchi;FMI Basel,"Patrick Matthias and Teppei Yamaguchi (FMI Basel, Switzerland) for floxed",flox
3930,ASN_Neuro/PMC4720215.nxml,0.0,Ned Mantei,HDAC1;HDAC2;mice;manuscript,HDAC2,"HDAC1 and HDAC2 mice, and Dr. Ned Mantei for critically reading the manuscript.",read
3932,ASN_Neuro/PMC4342366.nxml,0.0,Darin Falk,authors;assistance;cell;transfection;studies;instrument,,The authors thank Dr. Darin Falk for assistance with the cell transfection studies using the Amaxa Biosystems Nucleoporator-II instrument.,thank
3938,ASN_Neuro/PMC4342369.nxml,1.0,Zeynep Akgoc,data;levels;nerve;nerve,,We also thank Zeynep Akgoc for the preliminary data regarding BMP levels in optic nerve and sciatic nerve.,thank
3940,ASN_Neuro/PMC4366423.nxml,1.0,Stacy Ann Kujawa,proofreading;manuscript,Northwestern University Feinberg School of Medicine,We also thank Stacy Ann Kujawa in Northwestern University Feinberg School of Medicine for critical proofreading of the manuscript.,thank
3945,ASN_Neuro/PMC4720175.nxml,0.0,Christopher Lingle,authors;suggestions,Washington University School of Medicine,The authors are grateful to Dr. Christopher Lingle (Professor of Anesthesiology at Washington University School of Medicine) for his constructive suggestions.,
3948,ASN_Neuro/PMC3806319.nxml,1.0,Kellie Bowen,assistance,,We thank Kellie Bowen for technical assistance.,thank
3950,ASN_Neuro/PMC4550297.nxml,1.0,Christine Labno,help;advice;interpretation;images,Vytas Bindokas;the Integrated Light Microscopy Core Facility of The University of Chicago Cancer Research Center,We thank Vytas Bindokas and Christine Labno in the Integrated Light Microscopy Core Facility of The University of Chicago Cancer Research Center for help and advice with the interpretation of the confocal images.,thank
3952,ASN_Neuro/PMC4568937.nxml,0.0,Claus Oxvig,authors;members;laboratories;comments;discussions,,The authors thank Claus Oxvig and members of Laursen and Oxvig laboratories for their helpful comments and discussions.,thank
3954,ASN_Neuro/PMC4623559.nxml,0.0,Alan Verkman,authors;provision;knockout;mice;studies,UCSF,The authors would like to thank Dr. Alan Verkman (UCSF) for the provision of the AQP4 knockout mice used in these studies.,like;thank
3955,ASN_Neuro/PMC4623559.nxml,1.0,Seema Tiwari-Woodruff,authors;use;microscope,,The authors would also like to thank Dr. Seema Tiwari-Woodruff (UCR) for the use of her Olympus BX61 confocal microscope.,like;thank
3959,ASN_Neuro/PMC4710127.nxml,1.0,Jessica Filosa,assistance;skeleton;analysis;microglia,Helena Morrison,Helena Morrison and Jessica Filosa for their assistance on the skeleton analysis of microglia.,
3961,ASN_Neuro/PMC4710131.nxml,0.0,Mark Goldberg,mice,,We thank Dr. Mark Goldberg for providing the YFP2.2 mice.,thank;provide
3962,ASN_Neuro/PMC4710131.nxml,0.0,Eric Meffre,protocol;tissue;ELISAs,,We thank Dr. Eric Meffre for providing a protocol to perform tissue lysate ELISAs.,thank;provide;perform;lysate
3965,ASN_Neuro/PMC4710129.nxml,1.0,Donna Crandall,assistance;graphics,,We would like to thank Donna Crandall for assistance with the graphics.,like;thank
3967,ASN_Neuro/PMC5051630.nxml,1.0,Annemieke Dees,authors;assistant,Heleen Post-van Engeldorp,The authors would like to thank Heleen Post-van Engeldorp Gastelaars and Annemieke Dees for technical assistant.,like;thank
3968,ASN_Neuro/PMC4774052.nxml,1.0,Mary Hammer,authors;support,Mortazavi,The authors also thank Sima Mortazavi and Mary Hammer for technical support.,thank
3976,ASN_Neuro/PMC3284767.nxml,0.0,Dale J. Benos,paper,,We dedicate this paper to the late Professor Dale J. Benos.,dedicate
3977,ASN_Neuro/PMC3284767.nxml,0.0,Manoj K. Gottipati,comments;version;paper,,We thank Manoj K. Gottipati for comments on a previous version of this paper.,thank
3980,ASN_Neuro/PMC5037500.nxml,1.0,Edna Suárez-Pozos,criticl;reading;manuscript,,We are grateful to Dr. Edna Suárez-Pozos for her criticl reading of the manuscript.,
3983,ASN_Neuro/PMC5043593.nxml,1.0,Nicole Smalley,authors;assistance;sample;collection,,The authors thank Mrs. Nicole Smalley for her technical assistance and sample collection.,thank
3986,ASN_Neuro/PMC5298486.nxml,1.0,Sophie Chu,authors;assistance,UCI,"The authors also thank Sophie Chu, Phoung (Remy) Vu (UCI), for excellent technical assistance.",thank
3990,ASN_Neuro/PMC5439654.nxml,0.0,Philippe Brabet,mice;cell;culture;experiments,,We would like to thank Dr. Philippe Brabet for providing the PAC1 -/-  mice that were used for cell culture experiments.,like;thank;provide
3991,ASN_Neuro/PMC5439654.nxml,0.0,Artur Czupryn,reading;manuscript,,We would also like to acknowledge Dr. Artur Czupryn for the critical reading of the manuscript.,like;acknowledge
3993,ASN_Neuro/PMC5439654.nxml,1.0,Katarzyna Piwocka,thanks;help;cytometry;experiments,the Nencki Institute Laboratory of Cytometry,"We would also like to extend our thanks to the Nencki Institute Laboratory of Cytometry, in particular to Agata Kowalczyk and Dr. Katarzyna Piwocka, for their help with flow cytometry experiments.",like;extend;agata
